"brand","model","model_year","milage","fuel_type","engine","transmission","ext_col","int_col","accident","clean_title","price"
"Honda","Civic LX","2003","160,265 mi.","Gasoline","115.0HP 1.7L 4 Cylinder Engine Gasoline Fuel","A/T","White","Gray","At least 1 accident or damage reported","Yes",3000
"McLaren","570S Spider","2020","8,700 mi.","Gasoline","562.0HP 3.8L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",185000
"Maserati","Ghibli S Q4","2016","1,000 mi.","Gasoline","404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Red","None reported","Yes",36000
"Jeep","Wagoneer Series II 4x4","2022","29,800 mi.","Gasoline","HEMI 5.7L V-8 variable valve control, regular unleaded, engine w","Automatic, 8-Spd","–","–","None reported","No",58900
"Maserati","Ghibli S Q4","2017","49,750 mi.","Gasoline","404.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Red","None reported","Yes",27995
"Lexus","RX 300 Base","2002","121,000 mi.","Gasoline","220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","None reported","Yes",6348
"Lincoln","Aviator Luxury","2005","140,000 mi.","Gasoline","302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Beige","None reported","Yes",2000
"Ford","Transit Connect XL","2018","66,770 mi.","E85 Flex Fuel","169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability","6-Speed A/T","Red","–","None reported","No",21500
"Cadillac","SRX Luxury Collection","2016","61,549 mi.","Gasoline","3.6 Liter SIDI DOHC","Automatic","Red","Ebony","At least 1 accident or damage reported","No",19998
"Lincoln","MKS EcoBoost","2016","38,100 mi.","Gasoline","365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Beige","None reported","Yes",21000
"Toyota","Yaris Base","2010","138,071 mi.","Gasoline","106.0HP 1.5L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Red","Gray","None reported","Yes",5000
"Mercedes-Benz","AMG E 63 S 4MATIC","2019","40,000 mi.","Gasoline","603.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","At least 1 accident or damage reported","Yes",72000
"Mercedes-Benz","GLS 450 Base","2022","41,545 mi.","Hybrid","3.0 Liter DOHC Twin Turbo","Automatic","MANUFAKTUR Diamond White Bright","Macchiato Beige/Black","None reported","No",71998
"Mercedes-Benz","G-Class G 550 4MATIC","2019","47,850 mi.","Gasoline","416.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","At least 1 accident or damage reported","Yes",127899
"Hyundai","Veloster Turbo R-Spec","2014","128,000 mi.","Gasoline","201.0HP 1.6L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Red","None reported","Yes",11000
"Toyota","4Runner Limited","2019","48,156 mi.","Gasoline","4.0L V6 24V MPFI DOHC","5-Speed Automatic","Midnight Black Metallic","Sand Beige","None reported","No",40368
"Mercedes-Benz","S-Class S 580 4MATIC","2021","4,700 mi.","Hybrid","496.0HP 4.0L 8 Cylinder Engine Gasoline/Mild Electric Hybrid","9-Speed A/T","Black","Black","None reported","Yes",99900
"Audi","RS 7 4.0T Performance Prestige","2017","39,071 mi.","Gasoline","4.0L V8 32V GDI DOHC Twin Turbo","8-Speed Automatic","White","Black","None reported","No",67900
"Mazda","MX-5 Miata Base","1999","96,680 mi.","Gasoline","140.0HP 1.8L 4 Cylinder Engine Gasoline Fuel","5-Speed M/T","Green","Beige","At least 1 accident or damage reported","Yes",12900
"Mercedes-Benz","AMG C 43 Base","2017","53,500 mi.","Gasoline","362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","9-Speed A/T","White","Brown","At least 1 accident or damage reported","Yes",33999
"Chevrolet","Corvette Z06","2007","11,025 mi.","Gasoline","505.0HP 7.0L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Orange","Black","None reported","Yes",47500
"Ford","F-250 King Ranch","2021","44,000 mi.","Diesel","475.0HP 6.7L 8 Cylinder Engine Diesel Fuel","10-Speed A/T","White","Brown","At least 1 accident or damage reported","Yes",73000
"Volkswagen","Tiguan 2.0T SE","2022","11,000 mi.","Gasoline","184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Blue","White","None reported","Yes",27900
"BMW","750 Li xDrive","2012","103,000 mi.","Gasoline","407.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Black","None reported","Yes",16000
"BMW","M3 CS","2024","456 mi.","Gasoline","543.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",128995
"Lexus","GX 460 Base","2018","64,000 mi.","Gasoline","301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Red","Brown","None reported","Yes",37300
"Audi","Q7 3.0T Premium","2017","108,000 mi.","Gasoline","333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Brown","None reported","Yes",25999
"Alfa","Romeo Stelvio Ti Sport","2018","37,045 mi.","Gasoline","280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Red","At least 1 accident or damage reported","Yes",26600
"Land","Rover Defender X","2023","5,433 mi.","Hybrid","3.0 Liter","Automatic","Santorin Black","Black","None reported","No",95998
"BMW","750 i xDrive","2019","28,744 mi.","Gasoline","4.4 Liter DOHC Twin Turbo","Automatic","Black","Black","None reported","No",50998
"BMW","M3 Base","2015","65,800 mi.","Gasoline","425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Red","None reported","Yes",44950
"Rolls-Royce","Ghost Base","2021","850 mi.","Gasoline","563.0HP 6.7L 12 Cylinder Engine Gasoline Fuel","A/T","White","White","None reported","Yes",314900
"Audi","e-tron Prestige","2019","33,012 mi.","Other","355.0HP Electric Motor Electric Fuel System","1-Speed A/T","Blue","Beige","None reported","Yes",38000
"Lexus","IS 250 Base","2011","107,818 mi.","Gasoline","204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Gray","Beige","At least 1 accident or damage reported","Yes",11400
"Land","Rover Range Rover Evoque SE Premium","2016","79,500 mi.","Gasoline","240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","9-Speed A/T","White","Black","None reported","Yes",19000
"Ferrari","California T","2015","20,000 mi.","Gasoline","553.0HP 3.9L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Red","Brown","At least 1 accident or damage reported","Yes",124990
"Lexus","LC 500 Base","2018","37,000 mi.","Gasoline","471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","Red","None reported","Yes",63997
"Kia","EV6 Wind","2022","11,945 mi.","Other","111.2Ah / FR 70kW / RR 160kW (697V)","Automatic","Glacier","Black","None reported","No",38998
"GMC","Sierra 1500 SLE Crew Cab","2005","131,800 mi.","Gasoline","295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel","4-Speed A/T","Silver","Gray","At least 1 accident or damage reported","Yes",5800
"Lexus","ES 350 Base","2008","146,000 mi.","Gasoline","272.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Red","Beige","None reported","Yes",8995
"Nissan","370Z NISMO","2010","29,000 mi.","Gasoline","350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","M/T","Silver","–","None reported","Yes",29000
"Dodge","Ram 1500 Laramie","2004","141,209 mi.","Gasoline","345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",5700
"Ford","Expedition Limited","2016","85,253 mi.","Gasoline","365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",19995
"INFINITI","QX70 Base","2015","87,009 mi.","Gasoline","325.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","A/T","Gray","Black","None reported","Yes",17800
"BMW","X5 M Base","2023","4,348 mi.","Gasoline","4.4L V8 32V GDI DOHC Twin Turbo","8-Speed Automatic","Alpine White","Black","None reported","No",105900
"Lincoln","Navigator Select","2016","158,000 mi.","Gasoline","380.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Red","Beige","None reported","Yes",19780
"Volvo","V60 Cross Country T5","2020","10,500 mi.","Gasoline","250.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",36000
"Audi","A7 3.0T Premium Plus","2018","45,843 mi.","Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","None reported","Yes",37000
"Ford","Bronco Sport Outer Banks","2021","15,198 mi.","Gasoline","1.5L I3 12V PDI DOHC Turbo","8-Speed Automatic","Blue","Navy Pier","None reported","Yes",31621
"Volkswagen","Eurovan MV","2001","220,000 mi.","Gasoline","140.0HP 2.8L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","–","None reported","Yes",5500
"Jaguar","F-TYPE R","2017","58,000 mi.","Gasoline","550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Black","None reported","Yes",51500
"Land","Rover Range Rover Evoque R-Dynamic HSE","2020","30,424 mi.","Hybrid","2.0 Liter","Automatic","Silver","Black","None reported","No",44998
"RAM","1500 Laramie","2021","38,012 mi.","Gasoline","5.7L V8 16V MPFI OHV","8-Speed Automatic","Delmonico Red Pearlcoat","Black","None reported","Yes",45277
"Rivian","R1S Adventure Package","2023","2,500 mi.","Other","835.0HP Electric Motor Electric Fuel System","A/T","Gray","Gray","None reported","Yes",91000
"BMW","M760 i xDrive","2021","11,078 mi.","Gasoline","6.6L V-12 gasoline direct injection, DOHC, variable valve contro","Automatic, 8-Spd Sport w/Sport & Manual Modes","BLACK","WHITE","None reported","No",91900
"Lexus","LX 570 Three-Row","2018","50,000 mi.","Gasoline","383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",65000
"Land","Rover Range Rover Velar P250 SE R-Dynamic","2019","58,000 mi.","Gasoline","247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","White","Black","None reported","Yes",38000
"Acura","MDX w/Technology Package","2023","3,415 mi.","Gasoline","3.5 Liter SOHC","F","White","Parchment.","None reported","No",54998
"Lexus","LC 500 Base","2018","61,000 mi.","Gasoline","471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",65000
"Audi","SQ5 3.0T Prestige","2019","48,500 mi.","Gasoline","349.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","At least 1 accident or damage reported","Yes",43500
"Land","Rover Range Rover Velar P250 SE R-Dynamic","2018","65,680 mi.","Gasoline","247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","At least 1 accident or damage reported","Yes",34900
"RAM","1500 Limited","2020","44,362 mi.","Gasoline","5.7L V8 16V MPFI OHV","8-Speed Automatic","Bright White Clearcoat","Black","None reported","Yes",50658
"Audi","S4 3.0T Premium","2019","18,603 mi.","Gasoline","3.0L V6 24V GDI DOHC Turbo","8-Speed Automatic","Brilliant Black","Black","None reported","No",42900
"Audi","A8 4.0","2020","35,999 mi.","Hybrid","4.0 Liter Turbo","Automatic","Mythos Black Metallic","Sarder Brown","None reported","No",59598
"Cadillac","Escalade ESV Sport","2021","8,044 mi.","Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Beige","None reported","Yes",93000
"Mercedes-Benz","AMG GT AMG GT S","2016","9,738 mi.","Gasoline","503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Red","Black","None reported","Yes",85500
"BMW","M3 Base","2009","112,000 mi.","Gasoline","420.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","At least 1 accident or damage reported","Yes",28000
"Honda","Accord EX-L","2009","167,300 mi.","Gasoline","190.0HP 2.4L 4 Cylinder Engine Gasoline Fuel","5-Speed A/T","Silver","Black","None reported","Yes",6250
"Rolls-Royce","Cullinan","2022","115 mi.","Gasoline","6.7L V12 48V GDI DOHC Twin Turbo","8-Speed Automatic","–","Grace White","None reported","Yes",449995
"Cadillac","Escalade Premium","2015","71,000 mi.","Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","Black","Brown","At least 1 accident or damage reported","Yes",35999
"Acura","RDX Technology Package","2020","31,015 mi.","Gasoline","2.0L I4 16V GDI DOHC Turbo","10-Speed Automatic","Silver","Ebony","None reported","Yes",36570
"BMW","X2 xDrive28i","2022","33,000 mi.","Gasoline","228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Orange","Black","None reported","Yes",29999
"Chrysler","Pacifica Touring","2017","63,000 mi.","–","–","9-Speed A/T","White","Beige","None reported","Yes",20000
"Buick","Verano Convenience","2013","68,325 mi.","E85 Flex Fuel","180.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability","Transmission w/Dual Shift Mode","Silver","Gray","None reported","Yes",11995
"Mercedes-Benz","AMG S 63 Base 4MATIC","2020","20,937 mi.","Gasoline","4.0L V8 32V GDI DOHC Twin Turbo","9-Speed Automatic","Magnetite Black Metallic","Black","None reported","No",104900
"RAM","2500 Tradesman","2021","34,365 mi.","Gasoline","410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","Gray","Gray","At least 1 accident or damage reported","Yes",48000
"Mercedes-Benz","Metris Base","2018","32,000 mi.","Gasoline","208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Black","Black","None reported","Yes",44900
"Land","Rover Range Rover Evoque S","2020","40,237 mi.","Gasoline","2.0 Liter","Automatic","Carpathian Grey Premium Metallic","Cloud","None reported","No",36998
"Volvo","XC90 T6 Inscription","2020","22,500 mi.","Gasoline","316.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Black","White","None reported","Yes",50000
"Ford","Expedition King Ranch","2020","58,700 mi.","Gasoline","375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","Brown","At least 1 accident or damage reported","Yes",48999
"Toyota","Highlander Hybrid Limited","2006","264,893 mi.","Hybrid","208.0HP 3.3L V6 Cylinder Engine Gas/Electric Hybrid","A/T","Gold","Beige","At least 1 accident or damage reported","Yes",5000
"Toyota","Tundra SR5 Access Cab","2005","209,500 mi.","Gasoline","282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","Blue","Gray","None reported","Yes",8500
"Ford","Transit-350 Base","2023","195 mi.","Gasoline","310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","10-Speed A/T","Blue","Gray","None reported","Yes",87500
"Chevrolet","Express 3500 LT","2016","120,000 mi.","Diesel","260.0HP 6.6L 8 Cylinder Engine Diesel Fuel","6-Speed A/T","White","Gray","None reported","Yes",19500
"Chevrolet","Bolt EUV Premier","2022","14,676 mi.","Other","200.0HP Electric Motor Electric Fuel System","A/T","Black","Blue","None reported","Yes",33000
"Jeep","Wrangler Unlimited 4xe Sahara","2021","33,704 mi.","Hybrid","2.0L I4 16V GDI DOHC Turbo Hybrid","8-Speed Automatic","Bright White Clearcoat","Black","None reported","No",42998
"BMW","X7 xDrive40i","2023","2,950 mi.","Hybrid","375.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid","8-Speed A/T","Black","Brown","None reported","Yes",87000
"Mercedes-Benz","AMG GT 53 Base","2021","17,994 mi.","Gasoline","3.0L I6 24V GDI DOHC Turbo","9-Speed Automatic","–","–","None reported","Yes",87500
"Toyota","Tundra Limited","2020","44,101 mi.","Gasoline","5.7L V8 32V MPFI DOHC","6-Speed Automatic","Gray","Black","None reported","Yes",45423
"BMW","X1 xDrive28i","2021","25,918 mi.","Gasoline","228.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","None reported","Yes",32000
"BMW","135 i","2008","87,000 mi.","Gasoline","300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",15300
"Mazda","Mazda3 Touring","2018","28,333 mi.","Gasoline","184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Blue","Black","None reported","Yes",20500
"Audi","A7 3.0T Premium Plus","2018","29,294 mi.","Gasoline","340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",39999
"Saturn","Sky Red Line","2008","37,000 mi.","Gasoline","260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Blue","Black","None reported","Yes",14995
"BMW","Z4 2.5i Roadster","2005","138,000 mi.","Gasoline","184.0HP 2.5L Straight 6 Cylinder Engine Gasoline Fuel","5-Speed A/T","White","Beige","None reported","Yes",9950
"Volvo","XC90 Hybrid T8 Inscription","2020","44,487 mi.","Plug-In Hybrid","400.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas","8-Speed A/T","Blue","Brown","None reported","Yes",65000
"Acura","TLX A-Spec","2021","16,878 mi.","Gasoline","2.0L I4 16V GDI DOHC Turbo","10-Speed Automatic","Red","Ebony","None reported","Yes",38781
"Acura","MDX w/Technology Package","2022","30,177 mi.","Gasoline","3.5L 24V SOHC I-VTEC V6","2","Majestic Black Pearl","Espresso","None reported","No",46598
"Chevrolet","Tahoe High Country","2021","53,000 mi.","Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",67100
"Tesla","Model Y Long Range","2021","61,308 mi.","Other","425.0HP Electric Motor Electric Fuel System","A/T","White","White","None reported","Yes",42000
"Mercedes-Benz","GLK-Class GLK 350","2013","99,200 mi.","Gasoline","302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","None reported","No",11495
"Chevrolet","Traverse LS","2022","32,117 mi.","Gasoline","3.6L V6 24V GDI DOHC","Automatic","Northsky Blue Metallic","Jet Black","None reported","No",33299
"BMW","550 Gran Turismo i","2013","79,341 mi.","Gasoline","445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","A/T","Gold","Brown","None reported","Yes",16800
"Land","Rover Range Rover Sport HSE","2007","220,000 mi.","Gasoline","300.0HP 4.4L 8 Cylinder Engine Gasoline Fuel","A/T","White","Beige","None reported","Yes",5750
"BMW","430 i xDrive","2021","16,900 mi.","Gasoline","255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Blue","White","None reported","Yes",43000
"Porsche","Cayman Base","2007","75,137 mi.","Gasoline","245.0HP 2.7L Flat 6 Cylinder Engine Gasoline Fuel","M/T","Black","Gray","At least 1 accident or damage reported","Yes",24999
"Ford","Expedition Max King Ranch","2021","37,594 mi.","Gasoline","3.5L V6 24V PDI DOHC Twin Turbo","10-Speed Automatic","Black","Mesa","None reported","Yes",62595
"Rivian","R1S Adventure Package","2023","250 mi.","Other","835.0HP Electric Motor Electric Fuel System","A/T","Red","Black","None reported","No",94000
"Mercedes-Benz","GLC 300 GLC 300","2021","12,771 mi.","Gasoline","2.0 Liter Turbo","Automatic","Black","–","None reported","No",42598
"Ford","Mustang Shelby GT500","2012","6,400 mi.","Gasoline","550.0HP 5.4L 8 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Black","None reported","Yes",48000
"Tesla","Model Y Long Range","2021","69,548 mi.","Other","425.0HP Electric Motor Electric Fuel System","1-Speed A/T","Black","Black","At least 1 accident or damage reported","Yes",36300
"Nissan","370Z Base","2009","79,893 mi.","Gasoline","332.0HP 3.7L V6 Cylinder Engine Gasoline Fuel","7-Speed A/T","Silver","Black","None reported","Yes",15900
"Toyota","Sequoia Platinum","2014","124,838 mi.","Gasoline","381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","None reported","Yes",33000
"Nissan","NV Passenger NV3500 HD SL V8","2020","14,353 mi.","Gasoline","375.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","A/T","Black","Gray","None reported","Yes",63900
"Ford","Transit Connect XL w/Rear Symmetrical Doors","2022","22,985 mi.","Gasoline","169.0HP 2.5L 4 Cylinder Engine Gasoline Fuel","A/T","White","Gray","None reported","Yes",33500
"INFINITI","QX80 Base","2014","161,894 mi.","Gasoline","400.0HP 5.6L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Beige","None reported","Yes",18900
"Aston","Martin V8 Vantage Base","2008","25,025 mi.","Gasoline","380.0HP 4.3L 8 Cylinder Engine Gasoline Fuel","6-Speed A/T","White","Black","At least 1 accident or damage reported","Yes",39000
"Porsche","911 Carrera S","2017","16,701 mi.","Gasoline","3.0 Liter","–","Red","–","None reported","No",107998
"Lotus","Evora 400 Base","2017","19,650 mi.","Gasoline","400.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Silver","Red","None reported","Yes",69250
"Land","Rover Range Rover Velar P250 S R-Dynamic","2020","29,500 mi.","Gasoline","247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","A/T","Red","White","None reported","Yes",45000
"Nissan","Xterra S","2007","132,272 mi.","Gasoline","261.0HP 4.0L V6 Cylinder Engine Gasoline Fuel","M/T","Gray","Gray","At least 1 accident or damage reported","Yes",6700
"Dodge","Charger R/T","2012","122,000 mi.","Gasoline","370.0HP 5.7L 8 Cylinder Engine Gasoline Fuel","5-Speed A/T","White","Black","At least 1 accident or damage reported","Yes",13500
"Buick","Encore GX Essence","2022","18,185 mi.","Gasoline","1.3L I3 12V GDI DOHC Turbo","Automatic CVT","Summit White","Whisper Beige","None reported","No",31755
"Nissan","Leaf S","2018","56,450 mi.","Other","147.0HP Electric Motor Electric Fuel System","A/T","Black","Black","At least 1 accident or damage reported","Yes",13999
"Nissan","Leaf SL","2012","102,000 mi.","Other","107.0HP Electric Motor Electric Fuel System","1-Speed A/T","Silver","Gray","None reported","Yes",4200
"Jeep","Grand Wagoneer Series III","2022","18,428 mi.","Gasoline","6.4 Liter","Automatic","Baltic Gray","Black","None reported","No",83998
"Nissan","Z Proto Spec","2023","535 mi.","Gasoline","400.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Yellow","Black","None reported","Yes",65990
"Land","Rover Range Rover Sport HSE","2013","81,648 mi.","Gasoline","5L V-8 gasoline direct injection, DOHC, variable valve control,","Auto, 6-Spd w/CmdShft","Fuji White","–","None reported","No",15900
"Porsche","Boxster S","2003","138,202 mi.","Gasoline","3.2L H6 24V MPFI DOHC","6-Speed Manual","Silver","Black","At least 1 accident or damage reported","Yes",22550
"Bentley","Continental GT Base","2004","69,600 mi.","Gasoline","550.0HP 6.0L 12 Cylinder Engine Gasoline Fuel","A/T","Silver","Black","None reported","Yes",37900
"Jaguar","F-TYPE R","2018","39,900 mi.","Gasoline","550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel","8-Speed A/T","White","Black","None reported","Yes",53600
"Cadillac","Escalade ESV Sport","2021","36,500 mi.","Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","White","Black","None reported","Yes",85000
"Audi","TT 2.0T","2018","42,650 mi.","Gasoline","220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Black","None reported","Yes",31990
"Jeep","Wrangler Unlimited Sahara","2020","68,816 mi.","Gasoline","2.0L I4 16V GDI DOHC Turbo","8-Speed Automatic","Black Clearcoat","Black","None reported","Yes",35297
"Audi","S6 4.0T","2016","91,188 mi.","Gasoline","450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",29995
"GMC","Sierra 2500 SLE","2015","116,210 mi.","E85 Flex Fuel","360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability","Transmission Overdrive Switch","Black","Beige","None reported","Yes",31900
"Tesla","Model 3 Long Range","2022","3,077 mi.","Other","Dual Motor - Standard","Automatic","Silver","Black","None reported","No",44998
"Mazda","CX-90 Premium","2024","3,880 mi.","Gasoline","2.5L","8-Speed Automatic","Machine Gray Metallic","Black","None reported","Yes",52991
"Ford","C-Max Energi SE","2017","67,482 mi.","Plug-In Hybrid","188.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas","CVT Transmission","Gray","Black","At least 1 accident or damage reported","Yes",11499
"Cadillac","Escalade ESV Platinum","2018","67,726 mi.","Gasoline","420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel","10-Speed A/T","Black","Black","None reported","Yes",52000
"Audi","TT 3.2 Cabriolet quattro","2008","207,000 mi.","Gasoline","250.0HP 3.2L V6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Black","Black","At least 1 accident or damage reported","Yes",10500
"Hyundai","Santa Fe SE","2021","35,550 mi.","Gasoline","2.5L I4 16V PDI DOHC","8-Speed Automatic","Twilight Black","Black","At least 1 accident or damage reported","Yes",25987
"Mercedes-Benz","AMG GLE AMG GLE 63 S-Model 4MATIC","2016","44,000 mi.","Gasoline","577.0HP 5.5L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Black","Black","None reported","Yes",46599
"Mercedes-Benz","SL-Class SL 550","2015","11,249 mi.","Gasoline","429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","White","Beige","None reported","Yes",54500
"Acura","MDX 3.5L Technology Package","2014","111,650 mi.","Gasoline","290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel","6-Speed A/T","Green","Beige","At least 1 accident or damage reported","Yes",17500
"RAM","2500 Laramie","2019","18,526 mi.","Diesel","6.7L I6 24V DDI OHV Turbo Diesel","6-Speed Automatic","Pearl White","Black","None reported","No",67999
"Audi","A7 Premium","2012","103,272 mi.","Gasoline","310.0HP 3.0L V6 Cylinder Engine Gasoline Fuel","8-Speed A/T","Black","Brown","None reported","Yes",15500
"BMW","M2 Base","2023","1,160 mi.","Gasoline","453.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel","6-Speed M/T","Gray","Black","None reported","Yes",73600
"RAM","1500 Laramie","2019","107,714 mi.","Gasoline","5.7L V8 16V MPFI OHV","8-Speed Automatic","Diamond Black","Black","None reported","Yes",34918
"Audi","Q5 2.0T Premium Plus","2013","111,773 mi.","Gasoline","211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel","8-Speed A/T","Brown","Beige","None reported","Yes",17000
"Cadillac","XTS Luxury","2019","54,002 mi.","Gasoline","304.0HP 3.6L V6 Cylinder Engine Gasoline Fuel","A/T","Black","Beige","At least 1 accident or damage reported","Yes",22500
"Volkswagen","Jetta 1.4T SE","2016","87,000 mi.","Gasoline","150.0HP 1.4L 4 Cylinder Engine Gasoline Fuel","Transmission w/Dual Shift Mode","Gray","Gray","At least 1 accident or damage reported","Yes",13000
"Ford","Focus RS Base","2016","49,700 mi.","Gasoline","350.0HP 2.3L 4 Cylinder Engine Gasoline Fuel","6-Speed M/T","Blue","Black","None reported","Yes",31700
"Mercedes-Benz","AMG C 63 S","2017","34,500 mi.","Gasoline","503.0HP 4.0L 8 Cylinder Engine Gasoline Fuel","7-Speed A/T","Gray","Black","None reported","Yes",64600
"Ford","Bronco Sport Big Bend","2021","31,729 mi.","Gasoline","1.5L I3 12V PDI DOHC Turbo","8-Speed Automatic","Maroon","Medium Dark Slate","At least 1 accident or damage reported","Yes",29614
